survived,pclass,sex,age,sibsp,parch,prediction
1,1,female,29,0,0,0.9448611736797824
1,1,male,0.92,1,2,0.7835185362783895
0,1,female,2,1,2,0.9785570060823016
0,1,male,30,1,2,0.5160823033226918
0,1,female,25,1,2,0.9455365968942833
1,1,male,48,0,0,0.36889347067235184
1,1,female,63,1,0,0.7395123390480195
0,1,male,39,0,0,0.46038625734453464
1,1,female,53,2,0,0.7492398378859182
0,1,male,71,0,0,0.1819153680835244
0,1,male,47,1,0,0.29569084995970607
1,1,female,18,1,0,0.946789365826272
1,1,female,24,0,0,0.9520771610775882
1,1,female,26,0,0,0.9481648287564667
1,1,male,80,0,0,0.13323051697343183
0,1,male,24,0,1,0.6267778647222768
1,1,female,50,0,1,0.8801438244801322
1,1,female,32,0,0,0.9345437317138113
0,1,male,36,0,0,0.4860998987014294
1,1,male,37,1,1,0.3932142618112852
1,1,female,47,1,1,0.8500434232798897
1,1,male,26,0,0,0.5682927908517725
1,1,female,42,0,0,0.901154781442592
1,1,female,29,0,0,0.9379702228702795
0,1,male,25,0,0,0.5778151698965485
1,1,male,25,1,0,0.4895309065848352
1,1,female,19,1,0,0.9398922861569314
1,1,female,35,0,0,0.9229110987043949
1,1,male,28,0,0,0.5491026783322908
0,1,male,45,0,0,0.3997907455337207
1,1,male,40,0,0,0.4477495040768977
1,1,female,30,0,0,0.938466924630789
1,1,female,58,0,0,0.8353302021510327
0,1,male,42,0,0,0.42839671678664254
1,1,female,45,0,0,0.8942554278991338
1,1,female,22,0,1,0.9574423911702149
0,1,male,41,0,0,0.4380495465026074
0,1,male,48,0,0,0.3718522899961081
1,1,female,44,0,0,0.8933148586767883
1,1,female,59,2,0,0.6952196492177807
1,1,female,60,0,0,0.8158907603172528
1,1,female,41,0,0,0.9041633264511154
0,1,male,45,0,0,0.38711533840137047
1,1,male,42,0,0,0.4157738408573785
1,1,female,53,0,0,0.8541010283011377
1,1,male,36,0,1,0.49349499151312803
1,1,female,58,0,1,0.8438533131939334
0,1,male,33,0,0,0.52127124866494
0,1,male,28,0,0,0.5711362910335228
0,1,male,17,0,0,0.6746875934641628
1,1,male,11,1,2,0.6724424035282761
1,1,female,14,1,2,0.9590029481496494
1,1,male,36,1,2,0.4286138100547988
1,1,female,36,1,2,0.9060595368595795
0,1,male,49,0,0,0.3637346615150129
0,1,male,36,1,0,0.38979695260205477
1,1,female,76,1,0,0.6234064201225211
0,1,male,46,1,0,0.30031014321404037
1,1,female,47,1,0,0.8398662721981143
1,1,male,27,1,0,0.4774463817280191
1,1,female,33,1,0,0.9014953644171682
1,1,female,36,0,0,0.9204071500724916
1,1,female,30,0,0,0.936224442958387
1,1,male,45,0,0,0.38869082751579137
0,1,male,27,1,0,0.4890003777180823
1,1,female,26,1,0,0.9262429963318544
1,1,female,22,0,0,0.954466259456472
0,1,male,47,0,0,0.37996419716407714
1,1,female,39,1,1,0.8894910036711425
0,1,male,37,1,1,0.40876824868298917
1,1,female,64,0,2,0.8197114655626865
1,1,female,55,2,0,0.734986617058806
0,1,male,70,1,1,0.15414554755479107
1,1,female,36,0,2,0.9311043436197084
1,1,female,64,1,1,0.7465452386423747
0,1,male,39,1,0,0.3663835599870705
1,1,female,38,1,0,0.8846339721461823
1,1,male,51,0,0,0.3363369575388514
1,1,male,27,0,0,0.5671492054604462
1,1,female,33,0,0,0.929432536430274
0,1,male,31,1,0,0.44247265216002307
1,1,female,27,1,2,0.9294943640643101
1,1,male,31,1,0,0.432429967863797
1,1,female,17,1,0,0.9445217041219277
1,1,male,53,1,1,0.2555252793618973
1,1,male,4,0,2,0.7837755127212539
1,1,female,54,1,1,0.8094589616631199
0,1,male,50,1,0,0.26497712102514837
1,1,female,27,1,1,0.9248324249210201
1,1,female,48,1,0,0.8339317607879446
1,1,female,48,1,0,0.8339317607879446
1,1,male,49,1,0,0.27676136863277623
0,1,male,39,0,0,0.4517739385927747
1,1,female,23,0,1,0.957063616678279
1,1,female,38,0,0,0.9188432520853348
1,1,female,54,1,0,0.8051409503301947
0,1,female,36,0,0,0.9246337336322267
1,1,male,36,0,0,0.48174597144699066
0,1,male,30,0,0,0.5439061611001379
1,1,female,24,3,2,0.8830441286941599
1,1,female,28,3,2,0.8653732815862228
1,1,female,23,3,2,0.8871354587396038
0,1,male,19,3,2,0.4202558550263189
0,1,male,64,1,4,0.22664971522611144
1,1,female,60,1,4,0.8142783157822453
1,1,female,30,0,0,0.9382274952897947
1,1,male,50,2,0,0.20317143687146605
1,1,male,43,1,0,0.32491986071296114
1,1,female,22,0,2,0.96002552802182
1,1,male,60,1,1,0.20659285507207703
1,1,female,48,1,1,0.8453187454183703
0,1,male,37,1,0,0.38000848022950295
1,1,female,35,1,0,0.8958107753320285
0,1,male,47,0,0,0.3704743784452153
1,1,female,35,0,0,0.9251002437628587
1,1,female,22,0,1,0.9579480225526835
1,1,female,45,0,1,0.8997786967668051
0,1,male,24,0,0,0.6014999063196224
1,1,male,49,1,0,0.2763509640568569
0,1,male,71,0,0,0.18377124936641312
1,1,male,53,0,0,0.3181468996423691
1,1,female,19,0,0,0.9596000595579229
0,1,male,38,0,1,0.4811588431160313
1,1,female,58,0,1,0.841373513153808
1,1,male,23,0,1,0.6183103843425741
1,1,female,45,0,1,0.8982960072661171
0,1,male,46,0,0,0.37946420934873026
1,1,male,25,1,0,0.4923911466843429
1,1,female,25,1,0,0.9257953716059931
1,1,male,48,1,0,0.2833993450779205
1,1,female,49,1,0,0.8302771893958916
0,1,male,45,1,0,0.30775573165507886
1,1,female,35,1,0,0.894138527435104
0,1,male,40,0,0,0.4476058386417521
1,1,male,27,0,0,0.5731968533307341
1,1,female,24,0,0,0.9504697741785156
0,1,male,55,1,1,0.25528589704756377
1,1,female,52,1,1,0.8304543337514674
0,1,male,42,0,0,0.42847388369468076
0,1,male,55,0,0,0.3114529139491033
1,1,female,16,0,1,0.9657752732394997
1,1,female,44,0,1,0.9043537805220747
1,1,female,51,1,0,0.823482083345218
0,1,male,42,1,0,0.33674519455973195
1,1,female,35,1,0,0.8970712603191126
1,1,male,35,0,0,0.4882652595560186
1,1,male,38,1,0,0.372480993926562
1,1,female,35,1,0,0.8970712603191126
1,1,female,38,0,0,0.9172360020015291
0,1,female,50,0,0,0.8739822613589845
1,1,male,49,0,0,0.36076957231278584
0,1,male,46,0,0,0.388586083758857
0,1,male,50,0,0,0.35169105471806306
0,1,male,32.5,0,0,0.520285859544084
0,1,male,58,0,0,0.28326489362874824
0,1,male,41,1,0,0.3510359460250218
1,1,male,42,1,0,0.34207129371871886
1,1,female,45,1,0,0.8554996285731289
1,1,female,39,0,0,0.9131120324396974
1,1,female,49,0,0,0.8760505493900563
1,1,female,30,0,0,0.9375708005452074
1,1,male,35,0,0,0.49242014368831816
0,1,male,42,0,0,0.42360199352212824
1,1,female,55,0,0,0.847811254404396
1,1,female,16,0,1,0.9657475153525733
1,1,female,51,0,1,0.8755263972325916
0,1,male,29,0,0,0.5517370777076427
1,1,female,21,0,0,0.9574450854934922
0,1,male,30,0,0,0.5522356084452154
1,1,female,58,0,0,0.8344982524930685
1,1,female,15,0,1,0.9685483409315031
0,1,male,30,0,0,0.5522356084452154
1,1,female,16,0,0,0.96495959438774
0,1,male,19,1,0,0.574587135092999
1,1,female,18,1,0,0.9468981034309848
1,1,female,24,0,0,0.9522207843640379
0,1,male,46,0,0,0.38870657837808215
0,1,male,54,0,0,0.31807220123056745
1,1,male,36,0,0,0.4836593261989128
0,1,male,28,1,0,0.47395961619130256
0,1,male,65,0,0,0.23348286767107804
0,1,male,44,2,0,0.2548700265770554
1,1,female,33,1,0,0.9044674771749903
1,1,female,37,1,0,0.8902144109397435
1,1,male,30,1,0,0.45469234078531967
0,1,male,55,0,0,0.31592760319337676
0,1,male,47,0,0,0.38623518800418233
0,1,male,37,0,1,0.5021467828802465
1,1,female,31,1,0,0.9114165402240854
1,1,female,23,1,0,0.9334193276481022
0,1,male,58,0,2,0.32771710272430216
1,1,female,19,0,2,0.9652696878943289
0,1,male,64,0,0,0.24589830481694944
1,1,female,39,0,0,0.9153893728262482
1,1,female,22,0,1,0.9600108666076645
0,1,male,65,0,1,0.2487289225076385
0,1,male,28.5,0,0,0.5762534034762278
0,1,male,45.5,0,0,0.4053870647885347
0,1,male,23,0,0,0.6296702700278071
0,1,male,29,1,0,0.48285208718115513
1,1,female,22,1,0,0.9400784882445324
0,1,male,18,1,0,0.593429904492665
1,1,female,17,1,0,0.9505467805704134
1,1,female,30,0,0,0.9401015116486369
1,1,male,52,0,0,0.3348739923154224
0,1,male,47,0,0,0.38151197857102837
1,1,female,56,0,1,0.8542429905475751
0,1,male,38,0,0,0.47063890077252524
0,1,male,22,0,0,0.6300188059270043
1,1,female,43,0,1,0.9085701396969694
0,1,male,31,0,0,0.5415890839467998
1,1,male,45,0,0,0.3978850474791617
